cohesion,syntax,vocabulary,phraseology,grammar,conventions
2.7681409618556096,2.728849970405137,3.0933242462796016,2.903786528283892,2.816990188688325,2.5102844165230693
3.330804195203587,3.268910210217002,3.4713342860291387,3.3440305390392058,3.4007608684199084,3.1896665728609
4.136733710249374,4.146533702847212,4.322049277768867,4.295416963575121,4.234235751829593,4.076422289988369
3.8303854523735508,3.7298883055829966,4.011008610624442,3.816862459765489,3.779596486652544,3.744656428390367
3.3832511178638636,3.411404121808544,3.5513249653754557,3.4127634187277485,3.5372746085482287,3.3394513390380034
3.7708516498199716,3.770046528054006,3.9728995904728057,3.8790089858779297,3.872861404151694,3.725031700739419
2.8441944351054493,2.8217276566480094,2.9819369693693374,2.8224781776239913,2.841601633449459,2.78806367543424
3.376729800548059,3.3263881042680374,3.509163955787471,3.444009968024857,3.5908519133431125,3.4587167862715154
2.7906703956350865,2.7619415770640963,3.042562990780385,2.7560554627031757,2.7293320812786206,2.4592512744451778
3.374892968240052,3.4338312772831254,3.4939231613096315,3.506112478500826,3.691531161704778,3.5892410794419067
3.0317631252577115,3.125895824677324,3.2470918331319463,3.249826657799229,3.4261417374208363,3.166536033526217
3.2711368122315427,3.3160294620098774,3.499383081859652,3.4341162514762535,3.562418719758727,3.359096974634782
3.924279488363246,3.7822240954357427,4.027584975214328,3.894367557039738,3.780016734945928,3.5720793336128165
3.4938403940180063,3.5225340660185527,3.701968019752489,3.6286616844679025,3.6885817782941395,3.5097609989566756
3.402903160839868,3.469785723860064,3.5867673806274096,3.5586701643034306,3.661106708806187,3.4419080426317725
3.103516513674168,3.0723965238790636,3.2361882986455335,3.1971456380107894,3.3181404899048497,3.1117171522364826
3.3290836704056126,3.3622750967798583,3.532401780737734,3.495254760370488,3.511810950719447,3.1700263603125247
4.2605923971313935,4.1991567243806,4.301096268821011,4.337377995586945,4.400445723065285,4.18750352001655
3.9103797214664873,3.8058376543828873,3.9835608018073394,3.89975054408946,3.887356614397453,3.637072693348385
3.130337680192763,3.179121383026515,3.3382033180616504,3.317840864527928,3.3668225497826008,3.099123168130398
2.737535300375375,2.907212728913959,3.1040172403043247,3.0344630952431384,3.220143824510286,2.965712980913257
2.7002757444379437,2.5838367140695353,2.936435108511235,2.7244391283137235,2.759835637183446,2.502259541372077
3.1646942450343034,3.094335727077449,3.3246015059363856,3.3552539581448624,3.361650411419454,2.8865889215586846
3.4795949089360008,3.4884702881353693,3.687575344314647,3.7082437181027386,3.8455932324529973,3.3413957101902496
3.720847947554611,3.6360294888000073,3.8288865347603402,3.742748673575533,3.628392790995976,3.5347850113730668
2.498050965090462,2.4562103274527516,2.7912015486247377,2.577518504343054,2.6154764855633115,2.0631205375136954
3.916937795190932,3.707441636354557,4.0371332276518235,3.8255716111229363,3.6997094475507373,3.7035808088029967
3.125628055876181,3.2825337336196414,3.442247897991559,3.39051647059693,3.521502776886604,3.3004500470222364
3.636300745423759,3.6736801170431934,3.7548655904120336,3.718176250989079,3.8002361621608465,3.7090192192653326
3.4315593051201514,3.3526385650261195,3.5982210112694277,3.4236960578143307,3.516132458512322,3.4128585672867575
4.000864332864988,3.9167227484147094,4.1341162125530175,4.046343651999282,3.960413904828385,3.878855529492398
3.120787864550258,3.117363639626607,3.268121186484068,3.2680674188879983,3.311042357032555,2.739238293492625
3.1592675114896234,3.223849223567978,3.336482290926969,3.411174987683374,3.482425960710387,3.065981120435798
3.6671157447545357,3.692883196239832,3.8233345876087665,3.8342670110040245,3.8312310952603505,3.6624066528515726
3.1145671712342677,3.1074318925177424,3.4888051803355298,3.344094276037366,3.2143203424720515,2.7696857280622345
3.600863922006866,3.6099816794798394,3.8518364988088694,3.845094455108696,3.8030748424611023,3.535716769490275
3.7267895384293617,3.5457073424318177,3.8113243020945147,3.6484093410614498,3.6316286378212514,3.367484440336613
3.03190477140433,3.0054205475769895,3.238479148378733,3.0596738820999603,3.1790624204628637,2.961605431421848
4.073038410838821,4.005668461398734,4.284085428109032,4.091829809461959,4.029392577004303,3.907076489638391
3.481124837845088,3.492306949719633,3.731462806738873,3.6332744388207083,3.670973621245191,3.4093553288286405
3.734722705040451,3.705812188828567,3.909859965503111,3.8007323368507784,3.766938552170842,3.5750126823944304
2.9177497886387824,2.963228878124666,3.346876199039493,3.1394330705920686,3.076066760062547,2.9706037111661847
3.0340795097386533,2.9607702983738102,3.2944901113807665,3.118074464207685,3.1606643098515472,2.8708664089670615
3.6906438583770624,3.6384355921375633,3.8127162491282074,3.703542243135428,3.728239684723257,3.5875656921303563
3.3006479241012743,3.3273368111256696,3.5537230156264905,3.5307727276830434,3.550187906857502,3.3706591780501407
3.753492745281221,3.7076074892417683,3.9292549138781747,3.8249503076956124,3.7561317221642367,3.4411887021389203
2.717332115904764,2.7635406123796273,2.9601181300107795,2.947094426321618,3.0172989312837872,2.6618476978508516
3.156138883424875,3.0648324667251936,3.310554939907579,3.116790495726872,3.097890985952488,2.805365706193413
4.10220996867989,4.058936399672635,4.294357108011162,4.170005017763108,4.116416843289389,3.9408971445571077
2.8279989041952556,2.845161315745011,3.0739960018960604,3.0502571293784735,3.0569288414631224,2.6878526201331456
3.4272203377373778,3.5079878185530777,3.6735466916718806,3.544966300007859,3.765378597163104,3.4029910644373045
3.8126821577768872,3.7438203876575935,3.951045941459834,3.863693958909597,3.8657546222518953,3.6969388382042387
3.5934691595772987,3.5580171974483403,3.7989070295496585,3.7257577421902495,3.737463831460456,3.383104347173239
3.080002273810732,2.947985877850216,3.301133999310541,3.0600215603134484,3.1570422923222954,2.7880580726349757
3.47250529804933,3.4593626860033058,3.683326867138847,3.6212774274055803,3.5784765975379904,3.508596644814123
2.611202541816974,2.689206029932559,2.994492612206818,2.8837202660340857,2.976888498987472,2.6543135554625583
3.070873435167626,3.184818991294404,3.293263994268621,3.2167020171759813,3.4647582587239145,3.2232025754208373
4.327196112888355,4.208751257539215,4.413875882855606,4.234402607189429,4.225542960398423,4.161937694096172
2.915677482696389,3.0135307560580236,3.1917990123838704,3.1587284644481155,3.222689126170235,2.8466399990932914
3.516920106020841,3.6160311108394056,3.705605821444711,3.571818773569686,3.856382702661514,3.6687575564475603
3.464155545603984,3.464718083444463,3.6797864142228076,3.627150457279041,3.5059265952218444,3.346131850889946
2.9302773039207572,2.948655298896708,3.1830397936118273,3.2127926776092903,3.3017386776999893,2.830623780473882
3.6078347753416526,3.4954465776375887,3.6836547182819204,3.5219565055074233,3.583566815063532,3.4881557834594736
3.2401116419261884,3.121780878994243,3.4542033156964504,3.391250588077561,3.2261570049730226,2.622493004697621
2.5751452258927685,2.629142066518277,2.9010508671767448,2.7455462044072347,2.8105282601960875,2.5937079252417963
2.6726541034170865,2.78487343849325,2.9546606832396574,2.8122242387517513,2.997163193758716,2.771340708732142
3.7661292324815965,3.7801683205486976,4.031010464154105,3.944570459815598,3.945599253765616,3.61510842463374
